@RELATION new_final_data

@ATTRIBUTE snipershotted REAL
@ATTRIBUTE less_50_snipershotted REAL
@ATTRIBUTE 50_100_snipershotted REAL
@ATTRIBUTE 100_200_snipershotted REAL
@ATTRIBUTE 200_500_snipershotted REAL
@ATTRIBUTE 500_800_snipershotted REAL
@ATTRIBUTE 800_1000_snipershotted REAL
@ATTRIBUTE more_1000_snipershotted REAL
@ATTRIBUTE sniperheadshotted REAL
@ATTRIBUTE less_50_sniperheadshotted REAL
@ATTRIBUTE 50_100_sniperheadshotted REAL
@ATTRIBUTE 100_200_sniperheadshotted REAL
@ATTRIBUTE 200_500_sniperheadshotted REAL
@ATTRIBUTE 500_800_sniperheadshotted REAL
@ATTRIBUTE 800_1000_sniperheadshotted REAL
@ATTRIBUTE more_1000_sniperheadshotted REAL
@ATTRIBUTE sniperheadpercentage REAL
@ATTRIBUTE normalshotted REAL
@ATTRIBUTE less_50_normalshotted REAL
@ATTRIBUTE 50_100_normalshotted REAL
@ATTRIBUTE 100_200_normalshotted REAL
@ATTRIBUTE 200_500_normalshotted REAL
@ATTRIBUTE 500_800_normalshotted REAL
@ATTRIBUTE 800_1000_normalshotted REAL
@ATTRIBUTE more_1000_normalshotted REAL
@ATTRIBUTE normalheadshotted REAL
@ATTRIBUTE less_50_normalheadshotted REAL
@ATTRIBUTE 50_100_normalheadshotted REAL
@ATTRIBUTE 100_200_normalheadshotted REAL
@ATTRIBUTE 200_500_normalheadshotted REAL
@ATTRIBUTE 500_800_normalheadshotted REAL
@ATTRIBUTE 800_1000_normalheadshotted REAL
@ATTRIBUTE more_1000_normalheadshotted REAL
@ATTRIBUTE normalheadpercentage REAL
@ATTRIBUTE onetap REAL
@ATTRIBUTE less_50_onetap REAL
@ATTRIBUTE 50_100_onetap REAL
@ATTRIBUTE 100_200_onetap REAL
@ATTRIBUTE 200_500_onetap REAL
@ATTRIBUTE 500_800_onetap REAL
@ATTRIBUTE 800_1000_onetap REAL
@ATTRIBUTE more_1000_onetap REAL
@ATTRIBUTE onetappercentage REAL
@ATTRIBUTE inertialshottime REAL
@ATTRIBUTE totalkills REAL
@ATTRIBUTE inertialshotpercentage REAL
@ATTRIBUTE onepenetrationwallbangtime REAL
@ATTRIBUTE twopenetrationswallbangtime REAL
@ATTRIBUTE manypenetrationswallbangtime REAL
@ATTRIBUTE firstkilltime REAL
@ATTRIBUTE blindedkilltime REAL
@ATTRIBUTE noscopekilltime REAL
@ATTRIBUTE thrusmokekilltime REAL
@ATTRIBUTE totalround REAL
@ATTRIBUTE incendiary_molotov REAL
@ATTRIBUTE incendiary_molotov_per_round REAL
@ATTRIBUTE avg_incendiary_molotov_per_round REAL
@ATTRIBUTE total_incendiary_molotov REAL
@ATTRIBUTE flashbang REAL
@ATTRIBUTE flashbang_per_round REAL
@ATTRIBUTE avg_flashbang_per_round REAL
@ATTRIBUTE total_flashbang REAL
@ATTRIBUTE hegrenade REAL
@ATTRIBUTE hegrenade_per_round REAL
@ATTRIBUTE avg_hegrenade_per_round REAL
@ATTRIBUTE total_hegrenade REAL
@ATTRIBUTE smokegrenade REAL
@ATTRIBUTE smokegrenade_per_round REAL
@ATTRIBUTE avg_smokegrenade_per_round REAL
@ATTRIBUTE total_smokegrenade REAL
@ATTRIBUTE im_applied_rate REAL
@ATTRIBUTE fb_applied_rate REAL
@ATTRIBUTE he_applied_rate REAL
@ATTRIBUTE smk_applied_rate REAL
@ATTRIBUTE flashthrown REAL
@ATTRIBUTE affectedenemycount REAL
@ATTRIBUTE affectedenemyduration REAL
@ATTRIBUTE affectedenemyefficiency REAL
@ATTRIBUTE affectedfriendlycount REAL
@ATTRIBUTE affectedfriendlyduration REAL
@ATTRIBUTE affectedfriendlydeficiency REAL
@ATTRIBUTE affectedtotalduration REAL
@ATTRIBUTE flashefficiencyintotal REAL
@ATTRIBUTE avg_killtick REAL
@ATTRIBUTE max_killtick REAL
@ATTRIBUTE min_killtick REAL
@ATTRIBUTE avg_delta REAL
@ATTRIBUTE max_delta REAL
@ATTRIBUTE min_delta REAL
@ATTRIBUTE avg_gamma REAL
@ATTRIBUTE max_gamma REAL
@ATTRIBUTE min_gamma REAL
@ATTRIBUTE avg_t0_t1_duration REAL
@ATTRIBUTE max_t0_t1_duration REAL
@ATTRIBUTE min_t0_t1_duration REAL
@ATTRIBUTE avg_t1_t2_duration REAL
@ATTRIBUTE max_t1_t2_duration REAL
@ATTRIBUTE min_t1_t2_duration REAL
@ATTRIBUTE avg_duration REAL
@ATTRIBUTE max_duration REAL
@ATTRIBUTE min_duration REAL
@ATTRIBUTE avg_speed REAL
@ATTRIBUTE max_speed REAL
@ATTRIBUTE min_speed REAL
@ATTRIBUTE damagedistance REAL
@ATTRIBUTE ratioofhitwhenmoving REAL
@ATTRIBUTE chest REAL
@ATTRIBUTE generic REAL
@ATTRIBUTE head REAL
@ATTRIBUTE leftarm REAL
@ATTRIBUTE leftleg REAL
@ATTRIBUTE neck REAL
@ATTRIBUTE rightarm REAL
@ATTRIBUTE rightleg REAL
@ATTRIBUTE stomach REAL
@ATTRIBUTE precision REAL
@ATTRIBUTE ischeater {0.153141361,0.18372093,FALSE,TRUE}

@DATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,2,5,18,16,16,9,0,0,0,2,3,2,2,0.157894737,5,0,0,0,1,2,1,1,0.087719298,1,14,0.071428571,0,0,0,1,0,0,0,9,4,17.82452582,0.660161113,11,9.175740432,0.339838887,27.00026626,0.320322226,21,8,0.380952381,2.380952381,50,16,0.761904762,4.857142857,102,7,0.333333333,0.857142857,18,7,0.333333333,2.857142857,60,0.16,0.156862745,0.388888889,0.116666667,243.3,578,34,3.818606125,54.305339,0,4.552194563,64.625824,0,0.239257813,0.3125,0.015625,0.411132813,1.390625,0,0.650390625,1.703125,0.015625,129.8441916,1278.049024,0,883.2012531,0.157894737,0.368421053,0.105263158,0.157894737,0,0.052631579,0,0.087719298,0.035087719,0.192982456,0.176056338,FALSE
4,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,50,1,0,16,12,15,3,3,7,0,0,4,1,0,1,1,0.14,5,0,0,3,1,0,0,1,0.1,0,14,0,0,0,0,6,0,0,1,5,0,0,0,5,7.617357952,1,7.617357952,-1,21,1,0.047619048,2.380952381,50,6,0.285714286,4.857142857,102,2,0.095238095,0.857142857,18,1,0.047619048,2.857142857,60,0.02,0.058823529,0.111111111,0.016666667,108.3636364,262,28,4.468827625,57.990909,0,5.49604825,78.754658,0,0.252929688,0.3125,0.015625,0.219726563,1.4375,0,0.47265625,1.75,0.015625,129.3667031,915.0982909,0,521.8910832,0.018518519,0.462962963,0.018518519,0.12962963,0.12962963,0.037037037,0,0.037037037,0.018518519,0.166666667,0.198501873,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,5,10,13,4,16,10,0,0,1,1,3,3,2,0.208333333,8,0,0,1,1,1,3,2,0.166666667,0,16,0,0,0,0,3,0,0,0,7,3,9.750325376,0.445837013,7,12.11938282,0.554162987,21.86970819,-0.108325974,21,10,0.476190476,2.380952381,50,8,0.380952381,4.857142857,102,1,0.047619048,0.857142857,18,4,0.19047619,2.857142857,60,0.2,0.078431373,0.055555556,0.066666667,162.25,1202,18,11.349966,47.544394,0.029068,0.0931156,0.90804,0,0.253125,0.3125,0.140625,0.120833333,0.9375,0,0.373958333,1.1875,0.140625,490.7376489,2524.180384,2.750344688,785.0474872,0,0.416666667,0,0.208333333,0,0,0,0.104166667,0.020833333,0.25,0.219178082,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,1,1,0,11,25,6,9,7,1,1,0,3,1,1,0,0.132075472,4,1,1,0,1,0,1,0,0.075471698,0,12,0,1,0,0,1,1,0,0,6,9,18.23014464,0.854048115,3,3.11542632,0.145951885,21.34557096,0.70809623,21,4,0.19047619,2.380952381,50,8,0.380952381,4.857142857,102,2,0.095238095,0.857142857,18,12,0.571428571,2.857142857,60,0.08,0.078431373,0.111111111,0.2,247.6,818,46,15.70838821,73.417264,0,4.896057929,59.567888,0,0.238839286,0.3125,0.03125,0.360491071,1.109375,0,0.599330357,1.421875,0.234375,91.31728954,581.1611573,1.004464286,730.3538213,0.075471698,0.339622642,0.094339623,0.132075472,0,0.037735849,0,0.018867925,0.113207547,0.264150943,0.182481752,FALSE
12,0,0,0,2,2,5,3,0,0,0,0,0,0,0,0,0,33,1,1,0,10,11,1,9,5,0,0,0,4,0,0,1,0.151515152,1,0,1,0,0,0,0,0,0.03030303,1,17,0.058823529,0,0,0,1,0,0,2,2,2,8.589649664,0.459112315,4,10.11960595,0.540887685,18.70925562,-0.081775369,21,1,0.047619048,2.380952381,50,2,0.095238095,4.857142857,102,1,0.047619048,0.857142857,18,1,0.047619048,2.857142857,60,0.02,0.019607843,0.055555556,0.016666667,257.8461538,1148,14,10.21824688,79.015916,0.008058,4.988517875,79.073034,0,0.272460938,0.3125,0.125,0.131835938,0.875,0,0.404296875,1.1875,0.125,82.0537875,1146.498112,2.029112645,717.4111089,0.111111111,0.511111111,0.044444444,0.111111111,0.066666667,0.022222222,0,0.088888889,0,0.155555556,0.295652174,FALSE
3,0,0,0,0,0,1,2,2,0,0,0,0,0,1,1,0.666666667,33,1,1,0,8,18,4,1,7,0,1,0,2,2,1,1,0.212121212,4,0,0,0,2,1,0,1,0.121212121,0,12,0,0,0,0,1,0,0,1,8,7,22.23120941,0.670653959,8,10.91734522,0.329346041,33.14855462,0.341307919,21,2,0.095238095,2.380952381,50,9,0.428571429,4.857142857,102,0,0,0.857142857,18,5,0.238095238,2.857142857,60,0.04,0.088235294,0,0.083333333,62.2,140,12,4.968118357,60.891232,0,0.9857705,4.842194,0,0.248883929,0.3125,0.03125,0.477678571,1.671875,0,0.7265625,1.984375,0.03125,103.9365941,1273.244033,0,663.5491325,0.222222222,0.416666667,0.027777778,0.25,0.027777778,0,0,0.083333333,0,0.194444444,0.096685083,FALSE
3,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,84,0,2,2,24,36,12,8,16,0,0,2,6,5,3,0,0.19047619,10,0,1,0,4,3,2,0,0.119047619,2,31,0.064516129,2,0,0,4,0,0,1,13,17,51.50776358,0.539803982,15,43.91162069,0.460196018,95.41938427,0.079607964,21,8,0.380952381,2.380952381,50,16,0.761904762,4.857142857,102,1,0.047619048,0.857142857,18,8,0.380952381,2.857142857,60,0.16,0.156862745,0.055555556,0.133333333,211.9047619,1236,0,8.534959864,72.319841,0,7.945286227,76.709773,0,0.1796875,0.3125,0,0.208096591,1.5,0,0.387784091,1.8125,0,468.3412665,5753.674799,0.200892857,659.7139046,0.034482759,0.344827586,0.022988506,0.183908046,0.011494253,0.057471264,0,0.057471264,0.103448276,0.218390805,0.247093023,TRUE
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42,0,4,0,4,16,8,10,10,0,2,0,1,4,1,2,0.238095238,7,0,0,0,1,4,0,2,0.166666667,0,13,0,0,0,0,1,0,0,0,10,14,35.8245655,0.976701876,1,0.854554688,0.023298124,36.67912019,0.953403752,21,4,0.19047619,2.380952381,50,12,0.571428571,4.857142857,102,0,0,0.857142857,18,13,0.619047619,2.857142857,60,0.08,0.117647059,0,0.216666667,136.1818182,670,0,0.538725769,4.168502,0,0.297350154,3.021005,0,0.207932692,0.3125,0,0.147836538,0.671875,0,0.355769231,0.90625,0,92.95045524,999,0.580525522,775.9977276,0.046511628,0.348837209,0.046511628,0.23255814,0,0.023255814,0,0.093023256,0.023255814,0.23255814,0.161417323,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,2,0,1,18,15,9,13,9,0,0,0,3,2,2,2,0.155172414,7,0,0,0,3,0,2,2,0.120689655,0,14,0,2,0,0,0,0,0,0,14,16,41.76918458,0.752815585,9,13.71476851,0.247184415,55.48395309,0.505631169,21,8,0.380952381,2.380952381,50,16,0.761904762,4.857142857,102,1,0.047619048,0.857142857,18,6,0.285714286,2.857142857,60,0.16,0.156862745,0.055555556,0.1,284.3636364,1280,12,8.461265824,77.433396,0,4.266523,64.841826,0,0.229779412,0.3125,0.03125,0.320772059,1.46875,0,0.550551471,1.78125,0.046875,237.2530972,2523.871836,0,741.0464558,0,0.379310345,0.103448276,0.155172414,0.034482759,0.068965517,0,0.017241379,0,0.24137931,0.111349036,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,1,2,6,21,1,14,4,0,0,1,0,3,0,0,0.088888889,3,0,0,1,0,2,0,0,0.066666667,0,12,0,0,0,0,3,0,0,0,6,8,15.28428832,0.920402407,2,1.321805056,0.079597593,16.60609338,0.840804815,21,4,0.19047619,2.380952381,50,9,0.428571429,4.857142857,102,3,0.142857143,0.857142857,18,3,0.142857143,2.857142857,60,0.08,0.088235294,0.166666667,0.05,164.3636364,326,28,6.631394312,64.008491,0,0.784315,4.086578,0,0.225585938,0.3125,0.015625,0.319335938,1.5,0,0.544921875,1.8125,0.015625,72.02989148,875.7727395,0,786.9557552,0.022222222,0.288888889,0.066666667,0.088888889,0.044444444,0.133333333,0,0.044444444,0.066666667,0.266666667,0.141868512,FALSE
