@RELATION target

@ATTRIBUTE snipershotted REAL
@ATTRIBUTE less_50_snipershotted REAL
@ATTRIBUTE 50_100_snipershotted REAL
@ATTRIBUTE 100_200_snipershotted REAL
@ATTRIBUTE 200_500_snipershotted REAL
@ATTRIBUTE 500_800_snipershotted REAL
@ATTRIBUTE 800_1000_snipershotted REAL
@ATTRIBUTE more_1000_snipershotted REAL
@ATTRIBUTE sniperheadshotted REAL
@ATTRIBUTE less_50_sniperheadshotted REAL
@ATTRIBUTE 50_100_sniperheadshotted REAL
@ATTRIBUTE 100_200_sniperheadshotted REAL
@ATTRIBUTE 200_500_sniperheadshotted REAL
@ATTRIBUTE 500_800_sniperheadshotted REAL
@ATTRIBUTE 800_1000_sniperheadshotted REAL
@ATTRIBUTE more_1000_sniperheadshotted REAL
@ATTRIBUTE sniperheadpercentage REAL
@ATTRIBUTE normalshotted REAL
@ATTRIBUTE less_50_normalshotted REAL
@ATTRIBUTE 50_100_normalshotted REAL
@ATTRIBUTE 100_200_normalshotted REAL
@ATTRIBUTE 200_500_normalshotted REAL
@ATTRIBUTE 500_800_normalshotted REAL
@ATTRIBUTE 800_1000_normalshotted REAL
@ATTRIBUTE more_1000_normalshotted REAL
@ATTRIBUTE normalheadshotted REAL
@ATTRIBUTE less_50_normalheadshotted REAL
@ATTRIBUTE 50_100_normalheadshotted REAL
@ATTRIBUTE 100_200_normalheadshotted REAL
@ATTRIBUTE 200_500_normalheadshotted REAL
@ATTRIBUTE 500_800_normalheadshotted REAL
@ATTRIBUTE 800_1000_normalheadshotted REAL
@ATTRIBUTE more_1000_normalheadshotted REAL
@ATTRIBUTE normalheadpercentage REAL
@ATTRIBUTE onetap REAL
@ATTRIBUTE less_50_onetap REAL
@ATTRIBUTE 50_100_onetap REAL
@ATTRIBUTE 100_200_onetap REAL
@ATTRIBUTE 200_500_onetap REAL
@ATTRIBUTE 500_800_onetap REAL
@ATTRIBUTE 800_1000_onetap REAL
@ATTRIBUTE more_1000_onetap REAL
@ATTRIBUTE onetappercentage REAL
@ATTRIBUTE inertialshottime REAL
@ATTRIBUTE totalkills REAL
@ATTRIBUTE inertialshotpercentage REAL
@ATTRIBUTE onepenetrationwallbangtime REAL
@ATTRIBUTE twopenetrationswallbangtime REAL
@ATTRIBUTE manypenetrationswallbangtime REAL
@ATTRIBUTE firstkilltime REAL
@ATTRIBUTE blindedkilltime REAL
@ATTRIBUTE noscopekilltime REAL
@ATTRIBUTE thrusmokekilltime REAL
@ATTRIBUTE totalround REAL
@ATTRIBUTE incendiary_molotov REAL
@ATTRIBUTE incendiary_molotov_per_round REAL
@ATTRIBUTE avg_incendiary_molotov_per_round REAL
@ATTRIBUTE total_incendiary_molotov REAL
@ATTRIBUTE flashbang REAL
@ATTRIBUTE flashbang_per_round REAL
@ATTRIBUTE avg_flashbang_per_round REAL
@ATTRIBUTE total_flashbang REAL
@ATTRIBUTE hegrenade REAL
@ATTRIBUTE hegrenade_per_round REAL
@ATTRIBUTE avg_hegrenade_per_round REAL
@ATTRIBUTE total_hegrenade REAL
@ATTRIBUTE smokegrenade REAL
@ATTRIBUTE smokegrenade_per_round REAL
@ATTRIBUTE avg_smokegrenade_per_round REAL
@ATTRIBUTE total_smokegrenade REAL
@ATTRIBUTE im_applied_rate REAL
@ATTRIBUTE fb_applied_rate REAL
@ATTRIBUTE he_applied_rate REAL
@ATTRIBUTE smk_applied_rate REAL
@ATTRIBUTE flashthrown REAL
@ATTRIBUTE affectedenemycount REAL
@ATTRIBUTE affectedenemyduration REAL
@ATTRIBUTE affectedenemyefficiency REAL
@ATTRIBUTE affectedfriendlycount REAL
@ATTRIBUTE affectedfriendlyduration REAL
@ATTRIBUTE affectedfriendlydeficiency REAL
@ATTRIBUTE affectedtotalduration REAL
@ATTRIBUTE flashefficiencyintotal REAL
@ATTRIBUTE avg_killtick REAL
@ATTRIBUTE max_killtick REAL
@ATTRIBUTE min_killtick REAL
@ATTRIBUTE avg_delta REAL
@ATTRIBUTE max_delta REAL
@ATTRIBUTE min_delta REAL
@ATTRIBUTE avg_gamma REAL
@ATTRIBUTE max_gamma REAL
@ATTRIBUTE min_gamma REAL
@ATTRIBUTE avg_t0_t1_duration REAL
@ATTRIBUTE max_t0_t1_duration REAL
@ATTRIBUTE min_t0_t1_duration REAL
@ATTRIBUTE avg_t1_t2_duration REAL
@ATTRIBUTE max_t1_t2_duration REAL
@ATTRIBUTE min_t1_t2_duration REAL
@ATTRIBUTE avg_duration REAL
@ATTRIBUTE max_duration REAL
@ATTRIBUTE min_duration REAL
@ATTRIBUTE avg_speed REAL
@ATTRIBUTE max_speed REAL
@ATTRIBUTE min_speed REAL
@ATTRIBUTE damagedistance REAL
@ATTRIBUTE ratioofhitwhenmoving REAL
@ATTRIBUTE chest REAL
@ATTRIBUTE generic REAL
@ATTRIBUTE head REAL
@ATTRIBUTE leftarm REAL
@ATTRIBUTE leftleg REAL
@ATTRIBUTE neck REAL
@ATTRIBUTE rightarm REAL
@ATTRIBUTE rightleg REAL
@ATTRIBUTE stomach REAL
@ATTRIBUTE precision REAL
@ATTRIBUTE ischeater {FALSE,TRUE}

@DATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,31,17,2,8,5,0,0,0,2,3,0,0,0.086206897,1,0,0,0,1,0,0,0,0.017241379,0,7,0,0,0,0,1,0,0,1,22,6,0.272727273,1.818181818,40,0,0,1.545454545,34,3,0.136363636,0.636363636,14,5,0.227272727,2.5,55,0.15,0,0.214285714,0.090909091,0,0,0,0,0,0,0,0,0,68.5,136,22,0.284961,0.995918,0,0.116078364,0.433639,0,0.166193182,0.3125,0.015625,0.098011364,0.3125,0,0.264204545,0.578125,0.015625,17.27422877,51.77347818,0,578.4526158,0.103448276,0.206896552,0.137931034,0.086206897,0.068965517,0.155172414,0,0.051724138,0.051724138,0.24137931,0.193832599,FALSE
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34,0,0,0,31,3,0,0,3,0,0,0,3,0,0,0,0.088235294,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,22,2,0.090909091,1.818181818,40,1,0.045454545,1.545454545,34,0,0,0.636363636,14,8,0.363636364,2.5,55,0.05,0.029411765,0,0.145454545,0,0,0,0,0,0,0,0,0,42,102,8,1.274716333,5.233992,0,0.816562,2.877273,0,0.184895833,0.3125,0.03125,0.25,0.84375,0,0.434895833,1.140625,0.03125,11.00958806,28.18449727,0,398.2757454,0.114285714,0.514285714,0,0.085714286,0.028571429,0.057142857,0,0.028571429,0.028571429,0.257142857,0.134615385,FALSE
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,37,0,0,4,6,10,2,15,4,0,0,0,2,0,1,1,0.108108108,2,0,0,0,1,0,0,1,0.054054054,0,7,0,0,0,0,0,0,0,0,8,5,18.36960205,0.470168546,11,20.70064672,0.529831454,39.07024877,-0.059662908,17,0,0,2.411764706,41,8,0.470588235,3.588235294,61,0,0,1.588235294,27,1,0.058823529,2.058823529,35,0,0.131147541,0,0.028571429,165.6,452,4,17.435619,66.150966,0.008435,20.430186,55.543014,0,0.129464286,0.3125,0,0.372767857,1.375,0,0.502232143,1.6875,0,537.3659198,1270.027344,0.782605161,766.2157598,0.078947368,0.473684211,0,0.105263158,0.026315789,0,0,0.210526316,0,0.184210526,0.2,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,1,8,4,6,3,0,0,0,0,1,0,2,0.157894737,3,0,0,0,0,1,0,2,0.157894737,18,7,2.571428571,0,0,0,0,0,0,0,7,12,27.80181347,0.761429237,5,8.710855232,0.238570763,36.5126687,0.522858474,22,1,0.045454545,1.772727273,39,8,0.363636364,2.772727273,61,1,0.045454545,1.772727273,39,1,0.045454545,1.590909091,35,0.025641026,0.131147541,0.025641026,0.028571429,110,324,32,0.571771125,1.404308,0,0.44172125,1.651264,0,0.275390625,0.3125,0.015625,0.416015625,1.265625,0,0.69140625,1.578125,0.109375,8.752906011,24.94910597,0.982675959,839.3680534,0.052631579,0.263157895,0.052631579,0.157894737,0.052631579,0.105263158,0,0.052631579,0,0.315789474,0.193548387,FALSE
4,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,41,0,0,0,14,12,8,7,1,0,0,0,1,0,0,0,0.024390244,1,0,0,0,1,0,0,0,0.024390244,4,8,0.5,1,0,0,2,0,0,0,5,2,5.070947264,0.603612126,4,3.330055712,0.396387874,8.401002976,0.207224251,27,8,0.296296296,2.407407407,65,9,0.333333333,4.037037037,109,4,0.148148148,1.703703704,46,7,0.259259259,2.777777778,75,0.123076923,0.082568807,0.086956522,0.093333333,63,196,12,16.05735112,76.077051,0.013933,1.40667025,9.405779,0,0.203125,0.3125,0,0.32421875,1.5,0,0.52734375,1.8125,0.1875,274.4788702,1892.433758,4.257517006,744.825156,0.155555556,0.444444444,0.266666667,0.022222222,0.044444444,0.022222222,0.022222222,0.066666667,0,0.111111111,0.183333333,FALSE
2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,48,0,0,0,15,22,7,4,2,0,0,0,0,1,1,0,0.041666667,1,0,0,0,0,0,1,0,0.020833333,3,9,0.333333333,0,0,0,0,0,0,1,6,8,17.00448198,0.526793254,7,15.27475066,0.473206746,32.27923264,0.053586507,27,0,0,1.444444444,39,8,0.296296296,2.851851852,77,0,0,0.777777778,21,1,0.037037037,1.888888889,51,0,0.103896104,0,0.019607843,350.75,1174,44,0.236030667,0.727169,0,0.312647,1.257113,0,0.25390625,0.3125,0.015625,0.69140625,1.484375,0,0.9453125,1.796875,0.015625,14.32059612,113.425242,0,657.322703,0,0.34,0,0.04,0,0.18,0,0.08,0.04,0.32,0.061124694,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,3,0,4,24,22,9,0,8,0,0,2,5,0,1,0,0.129032258,2,0,0,0,1,0,1,0,0.032258065,15,10,1.5,0,0,0,1,0,0,0,24,19,53.78562768,0.49640472,27,54.56472747,0.50359528,108.3503552,-0.007190561,28,7,0.25,1.678571429,47,27,0.964285714,4.928571429,138,5,0.178571429,0.857142857,24,7,0.25,1.857142857,52,0.14893617,0.195652174,0.208333333,0.134615385,256.8888889,1090,36,0.340083846,1.488615,0,0.501449077,2.530942,0,0.264423077,0.3125,0.015625,0.456730769,1.5,0,0.721153846,1.8125,0.015625,28.65372268,114.1377534,0,503.3437973,0,0.387096774,0.096774194,0.129032258,0,0.016129032,0,0.096774194,0.080645161,0.193548387,0.064124783,FALSE
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,52,1,0,0,4,22,15,10,6,0,0,0,0,2,0,4,0.115384615,1,0,0,0,0,1,0,0,0.019230769,24,10,2.4,1,0,0,1,0,0,0,7,6,17.68851667,0.357508682,13,31.78865011,0.642491318,49.47716678,-0.284982637,25,2,0.08,1.16,29,7,0.28,3.08,77,2,0.08,0.4,10,0,0,1.2,30,0.068965517,0.090909091,0.2,0,117.75,256,6,8.903097,79.351978,0,8.339850222,72.158354,0,0.116319444,0.3125,0.015625,0.420138889,1.5,0,0.536458333,1.6875,0.03125,6.430911977,22.49883101,0,870.7342206,0.169811321,0.301886792,0.037735849,0.113207547,0.037735849,0.132075472,0,0.037735849,0.056603774,0.283018868,0.055679287,FALSE
10,0,0,0,3,2,3,2,3,0,0,0,1,1,1,0,0.3,8,0,0,0,5,1,0,2,2,0,0,0,2,0,0,0,0.25,1,0,0,0,1,0,0,0,0.125,0,11,0,0,0,0,1,0,0,0,2,1,1.025979776,0.702242639,1,0.435024896,0.297757361,1.461004672,0.404485277,22,2,0.090909091,1.818181818,40,4,0.181818182,1.545454545,34,1,0.045454545,0.636363636,14,3,0.136363636,2.5,55,0.05,0.117647059,0.071428571,0.054545455,342.75,1280,0,13.40797645,84.505425,0,0.047479818,0.422147,0,0.251420455,0.3125,0,0.065340909,0.5,0,0.316761364,0.8125,0,306.0364321,1144.356276,2.249798467,736.753753,0,0.5,0.055555556,0.277777778,0,0,0,0.055555556,0,0.111111111,0.116438356,FALSE
4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,37,0,0,0,17,8,4,8,6,0,0,0,2,2,1,1,0.162162162,3,0,0,0,1,0,1,1,0.081081081,6,10,0.6,0,0,0,2,0,0,1,16,23,51.09086301,0.826675082,11,10.71197119,0.173324918,61.8028342,0.653350163,24,2,0.083333333,1.708333333,41,18,0.75,4.041666667,97,0,0,0.5,12,2,0.083333333,2.458333333,59,0.048780488,0.18556701,0,0.033898305,121.3333333,410,0,6.280585071,83.363262,0,0.318713643,2.729548,0,0.21875,0.3125,0,0.308035714,1.453125,0,0.526785714,1.765625,0,127.9638993,999,0,810.5829043,0.097560976,0.43902439,0,0.146341463,0.024390244,0.024390244,0,0.12195122,0.073170732,0.170731707,0.091111111,FALSE
